Date,Water Area (km^2)
2017-01-12 08:00:00,1554.1017513095187
2017-01-13 08:00:00,1539.8200530434701
2017-01-14 08:00:00,1526.5952930453075
2017-01-15 08:00:00,1522.4284420527333
2017-01-16 08:00:00,1527.5264371326862
2017-01-17 08:00:00,1540.2983178434192
2017-01-18 08:00:00,1589.9162354891075
2017-01-19 08:00:00,1583.8393671521178
2017-01-20 08:00:00,1564.6300953350092
2017-01-21 08:00:00,1549.7486844383811
2017-01-22 08:00:00,1535.3429321818007
2017-01-23 08:00:00,1524.775517080792
2017-01-24 08:00:00,1521.7152540314225
2017-01-25 08:00:00,1517.534259007218
2017-01-26 08:00:00,1514.118939900799
2017-01-27 08:00:00,1499.8618944143689
2017-01-28 08:00:00,1476.9356020913553
2017-01-29 08:00:00,1462.8442207156586
2017-01-30 08:00:00,1443.7920640245704
2017-01-31 08:00:00,1430.4876135231514
2017-02-01 08:00:00,1420.7449188927235
2017-02-02 08:00:00,1418.3272468441917
2017-02-03 08:00:00,1420.6922742258696
2017-02-04 08:00:00,1416.4584943747084
2017-02-05 08:00:00,1401.5646594365564
2017-02-06 08:00:00,1397.7458560060434
2017-02-07 08:00:00,1422.8582994010867
2017-02-08 08:00:00,1425.0338203999534
2017-02-09 08:00:00,1414.5636022047497
2017-02-10 08:00:00,1414.2290092536177
2017-02-11 08:00:00,1415.1300671506083
2017-02-12 08:00:00,1414.5350354616057
2017-02-13 08:00:00,1410.5059224534175
2017-02-14 08:00:00,1406.5411958653963
2017-02-15 08:00:00,1399.3741920620178
2017-02-16 08:00:00,1391.2771168784313
2017-02-17 08:00:00,1390.2352485963936
2017-02-18 08:00:00,1380.2378496940996
2017-02-19 08:00:00,1374.337998028367
2017-02-20 08:00:00,1363.7851517195184
2017-02-21 08:00:00,1406.9826224044912
2017-02-22 08:00:00,1447.0640608135454
2017-02-23 08:00:00,1427.1757847395936
2017-02-24 08:00:00,1402.4295513078002
2017-02-25 08:00:00,1399.2508693339753
2017-02-26 08:00:00,1400.839447033932
2017-02-27 08:00:00,1410.5863917870429
2017-02-28 08:00:00,1419.6659568113473
2017-03-01 08:00:00,1420.5553610866912
2017-03-02 08:00:00,1422.4872998012859
2017-03-03 08:00:00,1423.872042213703
2017-03-04 08:00:00,1434.9531051051658
2017-03-05 08:00:00,1458.6038127302857
2017-03-06 08:00:00,1459.7373517194314
2017-03-07 08:00:00,1457.4717916379652
2017-03-08 08:00:00,1461.2007024386417
2017-03-09 08:00:00,1482.2376860059965
2017-03-10 08:00:00,1509.4326827154084
2017-03-11 08:00:00,1597.7096567121748
2017-03-12 08:00:00,1772.4215400991254
2017-03-13 08:00:00,1815.5747430589242
2017-03-14 08:00:00,1842.6508569948217
2017-03-15 08:00:00,1920.9711990572405
2017-03-16 08:00:00,1949.3382798070559
2017-03-17 08:00:00,2008.4803215583756
2017-03-18 08:00:00,2045.8987039972292
2017-03-19 08:00:00,2169.836168552418
2017-03-20 08:00:00,2264.082881559493
2017-03-21 08:00:00,2479.9900540454228
2017-03-22 08:00:00,2655.6975447886875
2017-03-23 08:00:00,2780.8447227222273
2017-03-24 08:00:00,2886.1602049414855
2017-03-25 08:00:00,2931.290597722248
2017-03-26 08:00:00,2946.6564602858066
2017-03-27 08:00:00,2938.9992770405765
2017-03-28 08:00:00,2917.7406287846006
2017-03-29 08:00:00,2912.1867098146963
2017-03-30 08:00:00,2931.190066690755
2017-03-31 08:00:00,2940.7025526444
2017-04-01 08:00:00,2969.785997242862
2017-04-02 08:00:00,2997.775199091137
2017-04-03 08:00:00,3001.7418064878425
