X,Y,Emergence days
386353.479575,3214193.059775,165
386354.1188666667,3229678.6596333333,11
386367.174025,3222144.547425,72
386384.5058,3169002.354325,208
386418.5105,3234349.1496,92
386425.25,3215099.0,164
386425.8211333333,3228815.8306333334,546
386438.12815,3221469.17075,213
386445.2165999999,3216244.6003,167
386457.96685,3221880.092675,190
386474.75,3213864.25,166
386488.512675,3215666.61355,164
386493.125,3214672.625,164
386509.884025,3230179.967675,312
386544.1502333333,3221669.9653666667,216
386577.987975,3214415.527725,165
386594.1534666666,3233321.0277,212
386597.9912666667,3222263.5114,6
386613.612975,3214192.652725,165
386699.812625,3216190.1745,162
386708.2427333333,3221965.414233333,97
386719.0605,3230658.4934250005,222
386722.6295,3229290.27235,492
386750.41136666667,3221630.5761,219
386762.21935,3221373.795775,220
386770.00296666665,3233830.9123666664,280
386778.000625,3216647.045825,166
386831.687425,3231138.9854750005,422
386909.8635,3230088.4806333333,220
386929.13745,3221792.53375,393
386954.9168,3232559.1725,760
386981.76365,3231720.71505,393
387020.9380333333,3229748.6107666665,307
387035.1863750001,3216559.8191,163
387038.27406666667,3221355.16,218
387078.4141,3230562.315133333,224
387112.2987,3168712.581125,208
387114.33516666666,3230300.1856333334,221
387179.209775,3233001.689,220
387180.5459,3216989.9069000003,167
387210.1273666667,3233880.1867333334,395
387224.852425,3170103.811,207
387242.653225,3221550.535025,214
387243.36833333335,3232209.5786,297
387263.052,3231002.307466667,225
387323.0768666666,3230710.6585000004,223
387393.1639333333,3229729.425633333,173
387397.3581666667,3233419.4398,216
387435.66290000005,3216871.41495,162
387437.64756666665,3221686.8282333333,252
387503.780025,3231348.8474250003,217
387506.651125,3230153.735975,249
387537.347,3225578.647325,141
387540.2128,3230558.6152333333,204
387576.72855,3225225.4110000003,197
387589.064175,3217327.6434,165
387615.8331,3224952.1207333338,208
387723.024975,3221722.6649750005,211
387770.6066333333,3233391.0144,187
387772.5582333333,3225640.421366667,322
387816.5149,3232781.4694333337,483
387829.1109,3217193.128025,161
387835.5921,3231696.117,221
387853.344975,3232264.030425,392
387865.4642,3230630.0624666666,369
387894.547925,3224903.365275,222
387906.10986666667,3225499.1645666664,68
387906.698,3230952.877466667,218
387918.555425,3225250.0701750005,214
387966.0144666666,3230060.019333333,106
387970.1061,3171262.194475,207
387973.666725,3169769.0311,208
387983.9378,3217680.8691,163
388014.4246,3221805.509366667,216
388049.61596666666,3233035.5235666665,289
388112.696775,3222040.1039250004,188
388123.5116333333,3230362.3567,336
388148.5683666666,3224864.382833333,216
388190.029075,3225519.905475,377
388200.940975,3217539.8143,161
388258.3266333334,3231035.470666667,324
388262.7941,3222360.017225,468
388287.17915,3225238.5020000003,220
388330.6340333333,3225003.9598,223
388367.6371666666,3222642.9681,379
388369.53105,3218044.5022,163
388411.86602500005,3231452.6862,221
388449.223375,3221960.334225,225
388462.7499,3222234.268433334,386
388484.0172,3232243.6393666663,402
388528.683125,3172523.479225,207
