X,Y,Emergence days
390689.3950500001,3231897.397775,320
390698.4683666666,3225679.950966667,16
390722.986825,3228527.947275,11
390726.4343,3225312.3899000003,13
390747.7819,3226389.429366667,322
390749.38573333336,3231477.379133334,314
390757.0045,3233919.196775,218
390807.0613,3226111.8134666667,503
390812.76696666674,3227738.5516,43
390830.17806666665,3232623.9766666666,252
390892.6412666666,3233374.646366667,322
390915.6991333333,3225728.705266667,15
390927.9498666667,3230235.673166666,537
390943.762275,3227089.539325,350
390952.4475666666,3226596.8442,337
390959.0705666666,3225287.7016,13
390977.19066666666,3228101.5143,34
391035.572275,3219696.688775,428
391053.29493333335,3227547.5043,238
391053.40185,3230796.381775,472
391057.8975333333,3225505.565066667,193
391066.25270000007,3229465.9304000004,308
391107.597725,3225962.134475,359
391117.4267333333,3231343.9203333333,221
391124.255825,3177355.7587750005,357
391154.547675,3219418.512525,432
391188.17215,3175489.358475,355
391208.9074333333,3232598.5897666668,395
391258.670775,3176591.3589500003,356
391280.1709,3228977.6102500004,58
391281.69645,3178334.8894,357
391291.3515333333,3225445.815133333,333
